_id,name,info,cat,purchases_Y15/M07,purchases_Y15/M08,purchases_Y15/M09,purchases_Y15/M10,purchases_Y15/M11
0081-001110-0009823,Gypsy Smocked Gauze Short,"The perfect Summer short for bright and breezy style! This comfortable gauze woven short comes in a gypsy-inspired print with a rich border, and features ric-rac trim and a wide smocked waist that flatters the figure.
			A 2-piece trend mix & match style!
			Approx. 4 in. inseam
			100% rayon
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0081-001110-0009823","[""girls"",""shorts"",""soft-shorts""]",,1,10,0,0
0081-001398-0001536,Tribal Tulip Short,"Step away from the usual in this fun woven short. The tulip cut design features a red and mint green tribal print. The look is complete with black pom pom trim at the front.
			Elastic waistband
			Approx. 2.5 in. inseam
			100% polyester
			Hand wash 
			Model wears size Medium
			Imported
			STYLE: 0081-001398-0001536","[""girls"",""shorts"",""soft-shorts""]",,1,0,0,0
0082-001110-0002837,Black Double Striped Waist Terry Jogger,"Knit French terry jogger pant with double striped elastic waist band. Drawstring. Front pockets. Elastic cuffs.
			Size Small has approx. 30 in. inseam
			60% cotton, 40% polyester
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0082-001110-0002837","[""uncategorised""]",,0,0,0,0
0082-001110-0009209,Rose Garden Athletic Jogger,"You don't need to be an athletic prodigy to rock this jogger pant. Made from a soft terry knit, it's comfortable enough for running errands or just lounging around. Features an oversized rose print with striped ribbed cuffs and waistband.
			Drawstring waist
			2 Front pockets
			Approx. 9 in. leg opening
			Approx. 28 in. inseam
			65% polyester, 35% cotton
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0082-001110-0009209","[""uncategorised""]",,7,9,0,0
0084-001110-0002442,Peach Scalloped Crochet Short,"Get ready for the weekend road trip in these cute crochet shorts. Made with a floral openwork crochet and fashion tie fabric belt. Complete with a wide elastic waistband.
			Lined
			Approx. 3 in. inseam
			Self/Lining: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0084-001110-0002442","[""girls"",""shorts"",""soft-shorts""]",,16,89,0,0
0085-001110-0000760,Green Cargo Camo Jogger,"Left, left, left, right, left! Get stepping in this comfortable knit jogger. Designed with a breathable French terry knit, this jogger pant boasts a dark green camo print and cargo pockets. 
			Drawstring waist
			Approx. 9 in. leg opening
			Approx. 28 in. inseam
			55% cotton, 45% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0085-001110-0000760","[""uncategorised""]",,13,0,0,0
0085-001110-0002756,Secret Garden Jogger,"Escape to a relaxing garden paradise in this comfy jogger. The scuba knit build features a colorful floral print and athletic striped trim at the waistband and cuffs. Complete with 2 convenient front pockets.
			Elastic waistband
			Approx. 28 in. inseam
			95% polyester, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0085-001110-0002756","[""uncategorised""]",,10,5,0,0
0085-001110-0002810,Triple Striped Jogger,"The stripe game is strong in this jogger. Built with a cozy French terry knit interior, it features white stripes below the knee at the left leg, two front pockets before topping off with ribbed trim at the cuffs and waistband.
			Drawstring waist
			Approx. 9 in. leg opening
			Approx. 29 in. inseam
			65% polyester, 35% cotton
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0085-001110-0002810","[""uncategorised""]",,10,0,0,0
0089-001110-0002423,White Neon Mesh Side Dolphin Short,"Lounge around or run a few last minute errands in this comfy knit dolphin short. Features a mesh insert side seam and neon screen printed crest on the left leg. Complete with a drawstring waistband.
			Approx. 2.5 in. inseam
			Body: 85% polyester, 15% cotton; Insert: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0089-001110-0002423","[""girls"",""activewear""]",,12,0,0,0
0089-001110-0002604,Neon Yellow Mesh Dolphin Short,"Don't just sit around, get up and go in this hot mesh short. Complete with a smocked elastic waistband and two convenient side pockets.
			2 side pockets
			Approx. 2.5 in. inseam
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0089-001110-0002604","[""girls"",""shorts"",""soft-shorts""]",,4,0,0,0
0095-000466-0004914,Acid Wash Frayed Denim Short,"Some things will never go out of style. This denim short is acid washed and features light rips with frayed leg openings. Complete with a vintage Americana fashion tie belt.
			Approx. 20 in. leg opening
			Approx. 2.5 in. inseam
			75% cotton, 23% polyester, 2% spandex
			Machine wash 
			Model wears size 3
			Imported
			STYLE: 0095-000466-0004914","[""girls"",""shorts"",""denim-shorts""]",,3,20,0,0
0098-000092-0003835,White Rolled Cuff Twill Short,"It's always shorts weather in this cute twill pair, featuring a wide rolled cuff and a bit of stretch for a smooth fit. Classic fly and waistband. 
			4 pockets
			Approx. 23 in. leg opening
			Approx. 2.5 in. inseam
			70% cotton, 29% polyester, 1% spandex
			Machine wash
			Model wears size 3
			Imported
			STYLE: 0098-000092-0003835","[""girls"",""shorts"",""soft-shorts""]",,3,0,0,0
0098-000945-0004380,Black Twill Short,"Switch it up and create a new outfit with this cute short. Crafted with a stretchy twill and back flap pockets. This short is finished with a hidden zip and a hook and bar closure.
			Approx. 2.5 in. inseam
			74% rayon, 22% nylon, 4% spandex
			Machine wash 
			Model wears size 3/4
			Imported
			STYLE: 0098-000945-0004380","[""girls"",""shorts"",""denim-shorts""]",,1,1,0,0
0098-001110-0002194,Light Green Crochet Tiered Short,"A stunning pair of colorful shorts with an all over tiered crochet design. Made from soft material with an elastic waistband for comfort.
			Approx. 3.5 in. inseam
			Lace: 100% cotton; Lining: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0098-001110-0002194","[""girls"",""shorts"",""soft-shorts""]",,11,3,0,0
0098-001200-0002921,6-Button High Waisted Short,"This cute high waisted short is for pairing with all of your favorite tops. Designed with a 6-button accented waist construction. Rock them with heels or flats for a unique style every  wear.
			Approx. 22 in. leg opening
			Approx. 2.5 in. inseam
			74% rayon, 22% nylon, 4% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0098-001200-0002921","[""girls"",""shorts"",""soft-shorts""]",,26,0,0,0
0098-001563-0002502,Black Bermuda Short,"Get the summer style with the classic cut of the Bermuda short. The sturdy twill construction is perfect for semi-casual wear. 
			Approx. 18 in. leg opening
			Approx. 8 in. inseam
			98% cotton, 2% spandex
			Machine wash
			Model wears size 3/4
			Imported
			STYLE: 0098-001563-0002502","[""girls"",""shorts"",""denim-shorts""]",,0,0,0,0
0100-000401-0008732,White Baked Denim Skirtall,"A baked denim cutoff skirtall with distressed details & a bib. Side button closure. Hip & back pockets. Adjustable straps. Classic fit through hip & thigh.
			Size 3/4 skirt is approx. 11 in. length from waist to hem
			78% cotton, 21% polyester, 1% spandex
			Machine washable
			Model wears size 3/4
			Imported
			STYLE: 0100-000401-0008732","[""uncategorised""]",,0,0,0,0
0101-000669-0003025-0046,Navy Floral Lace Illusion Skater Dress,"A skater dress that beguiles with its charms. Crafted lovingly with paisley lace, this mini dress features a see-through floral crochet at the waistline. It finishes off with a flared skirt for an ultra-feminine look.
			Lined; built-in slip
			Hidden side zip
			Self/contrast: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0101-000669-0003025","[""girls"",""dresses"",""skater-dresses""]",,7,62,126,17
0101-000786-0001888,Coral Ponte 3-Tier Chevron Dress,"A springy ponte tank dress with a 3-tiered chevron chiffon ruffle skirt & a wide elastic belt with a faux leather buckle. Scoop neck, lining.
			Self - 89% polyester, 7% rayon, 4% spandex; Combo - 100% polyester
			Machine washable
			Model wears size Small
			Made in the U.S.A.
			STYLE: 0101-000786-0001888","[""girls"",""dresses"",""party-dresses""]",,0,0,0,0
0101-000786-0001890,Ponte 3-Tier Leopard Dress,"A springy ponte tank dress with a 3-tiered leopard chiffon ruffle skirt & a wide elastic belt with a faux leather buckle. Scoop neck, lining.
			Self - 89% polyester, 7% rayon, 4% spandex; Combo - 100% polyester
			Machine washable
			Model wears size Small
			Made in the U.S.A.
			STYLE: 0101-000786-0001890","[""girls"",""dresses"",""party-dresses""]",,0,0,0,0
0101-001077-0001224,Neon Orange Aztec Jacquard Skater Dress,"A trendy cap sleeve skater dress in allover Aztec-patterned jacquard.
			95% polyester, 5% spandex
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0101-001077-0001224","[""uncategorised""]",,1,0,0,0
0101-001110-0002447,Cinched Bodycon Dress,"Show off those dangerous curves in this hot bodycon dress. Crafted with a marled knit, this dress features a cinched envelope side seam. Get out there and show them what you're made of!
			48% polyester, 48% rayon, 4% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0101-001110-0002447","[""girls"",""dresses"",""bodycon-dresses""]",,20,7,0,0
0101-001125-0004204,Americana Bodycon Dress,"Give a shot out to the land of the free in this hot bodycon dress. Constructed from jersey knit, this dress features a vintage American Flag print at the front. The look is complete with a metallic gold zip down the front.
			95% cotton, 5% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0004204","[""girls"",""dresses"",""bodycon-dresses""]",,18,3,0,0
0101-001125-0008481,Mesh Illusion Skater Dress,"Throw down on the dance floor in this hot mesh skater dress. Featuring a knit skirt lining and paneled knit lining at the bust, this modern fit-and-flare dress will turn heads everywhere you go.
			100% polyester
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0008481","[""girls"",""dresses"",""skater-dresses""]",,13,0,0,0
0101-001125-0008922,Black Mock Neck Solid Mini Dress,"Why wait for a special occasion to rock this cute knit dress? Sleeveless and featuring a relaxed build of soft jersey knit with a mock neck. Paired with the right pieces and this dress can go from casual to night wear in a heartbeat.
			96% rayon, 4% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0008922","[""girls"",""dresses"",""mini-dresses""]",,2,1,0,0
0101-001125-0009110-0087,Burnt Orange All Wrapped Up Tulip Dress,"It's okay to get all wrapped up with this cute dress. Designed with an airy knit, featuring a tulip wrapped skirt and surplice split top. 
			82% polyester, 14% rayon, 4% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001125-0009110","[""girls"",""dresses"",""midi-dresses""]",,1,23,82,0
0101-001629-0004234-0046,Navy Moroccan Escape Shift Dress,"A parade of colors dance across the hemline of this dress, featuring an intricate Moroccan inspired print on an airy gauze fabric. This relaxed shift dress is complete with lightly elasticized arm openings. 
			100% polyester
			Hand wash 
			Model wears size Small
			Imported
			STYLE: 0101-001629-0004234","[""girls"",""dresses"",""mini-dresses""]",,20,48,33,0
0101-001686-0001152,Salmon Tiered Lace Belted Dress,"This lacey beauty is going to be a summer favorite. Featuring a three-layered lace body and tube top. Complete with a crochet adjustable belt.
			Lined
			Adjustable belt
			Self: 90% nylon, 10% spandex; Contrast: 100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0101-001686-0001152","[""girls"",""dresses"",""mini-dresses""]",,9,15,0,0
0101-001693-0007831,Black Flocked Floral Skater Dress,"Celebrate your feminine chic in this party-perfect skater dress with 3/4 sleeves, front scoop neck, and a soft flocked floral print.
			62% spun polyester, 35% polyester, 3% spandex
			Dry clean only
			Model wears size Small
			Made in the U.S.A.
			STYLE: 0101-001693-0007831","[""uncategorised""]",,1,0,0,0
0101-001749-0004288,Gemmed Out Halter Bodycon Dress,"Get ready to party the night away in this bodycon dress. Made of a soft scuba knit with a colorful jeweled design. Complete with neon pink trim.
			92% polyester, 8% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001749-0004288","[""girls"",""dresses"",""bodycon-dresses""]",,8,9,0,0
0101-001749-0004290,In Love Bodycon Dress,"A scuba knit bodycon dress to help you find that special someone. Designed with a floral and tribal pattern with ""Just Wanna Be In Love"" printed across the front. Complete with a zip accented, open envelope cut back.
			92% polyester, 8% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001749-0004290","[""girls"",""dresses"",""bodycon-dresses""]",,4,20,0,0
0101-001752-0001004,Light Blue Chiffon Cross-Front Dress,"Walk into the room and blow the crowd away in this gorgeous chiffon dress. Featuring an adjustable, cross-front and layered tank top with a sweetheart neckline. The look is complete with a flowing cinched chiffon skirt.
			Lined; built-in cups
			Back zip 
			100% polyester
			Dry clean only
			Model wears size Small
			Imported
			STYLE: 0101-001752-0001004","[""girls"",""dresses"",""party-dresses""]",,12,0,0,0
0101-001792-0002807-0007,Knit Raw Cut Sharkbite Dress,"Slide into something a bit more comfortable when the temperature outside rises with this cute knit dress. The breathable knit features a raw edge, sharkbite hemline that's perfect for showing off a little bit of leg this summer.
			95% rayon, 5% spandex
			Machine wash 
			Model wears size Small
			Made in U.S.A.
			STYLE: 0101-001792-0002807","[""girls"",""dresses"",""mini-dresses""]",,0,26,52,0
0107-001110-0002177,Tan Belted Chiffon Shirt Dress,"Classy and sassy collide with this cute shirt dress. The lightweight chiffon build features metallic gold button accents and a pointed collar. The dress is complete with two buttoned front flap pockets.
			Button down
			Faux leather adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002177","[""girls"",""dresses"",""shirt-dresses""]",,20,20,0,0
0107-001110-0002364,Black Belted Shirt Dress,"It's time to up the ante with your Fall wardrobe this year. Combat the changing seasons with this stunning black gauze shirt dress, outfitted with an adjustable faux leather belt. Finished with rolled tab sleeves and a mandarin collar.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002364","[""girls"",""dresses"",""shirt-dresses""]",,22,13,0,0
0107-001110-0002365,Tribal Belted Shirt Dress,"Start prepping your fall wardrobe with this pretty shirt dress. It's been crafted with a breezy chiffon that features a navy and neon peach tribal print. The look is finished with a faux leather belt, rolled tab sleeves and a buttoned yoke.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002365","[""girls"",""dresses"",""shirt-dresses""]",,0,0,0,0
0107-001110-0002366,Chevron Belted Shirt Dress,"Start planning your autumn wardrobe with this pretty shirt dress. Designed with an airy woven chiffon, featuring a multi-colored chevron print. It's been outfitted with a faux leather belt, rolled tab sleeves and a buttoned yoke.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002366","[""girls"",""dresses"",""shirt-dresses""]",,32,12,0,0
0107-001110-0002367,Pink Rose Belted Shirt Dress,"Switch up your wardrobe with this stunning shirt dress. Crafted with breezy gauze in black, featuring delicate pink rose prints and a faux leather belt. The rolled tab sleeves and buttoned mandarin collar finish this feminine Fall look.
			Adjustable belt
			Rolled tab sleeves
			100% polyester
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002367","[""girls"",""dresses"",""shirt-dresses""]",,20,24,0,0
0107-001110-0002735,Burgundy Burgundy Belted Skater Dress,"Clear out your schedule and plan a relaxing day out in this pretty skater dress. Crafted with a soft knit, this dress flares out from the waist and is complete with a braided, faux leather belt.
			Adjustable belt
			95% polyester, 5% spandex
			Machine wash 
			Model wears Small
			Imported
			STYLE: 0107-001110-0002735","[""girls"",""dresses"",""skater-dresses""]",,8,3,0,0
0107-001110-0002841,Black Jersey Knit Hanky Dress,"A casual, yet sleek and modern dress for the gal on-the-go. This jersey knit dress, crafted in solid black, features elbow length sleeves and a handkerchief cut hemline.
			95% rayon, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002841","[""girls"",""dresses"",""mini-dresses""]",,16,19,0,0
0107-001110-0002842,Burgundy Wide Striped Tent Dress,"For a look that's as free-loving as your personality, get ready to rock this tent dress. Designed with soft jersey knit and crafted with a relaxed and loose-fitting build. Striped with navy and charcoal gray and complete with mid-length sleeves.
			95% rayon, 5% spandex
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0107-001110-0002842","[""girls"",""dresses"",""mini-dresses""]",,30,35,0,0
0109-001127-0003254,Navy Turnkey Satchel By Rampage®,"This sophisticated satchel is constructed from a sleek faux leather. It features a metallic turnkey front pocket and enough space to keep all of your possessions in their proper place.
			By Rampage®
			Measures 11.85 in. high x 11 in. wide base
			Zip closure
			Interior zip compartment and pockets
			Adjustable strap
			Man-made materials
			Imported
			STYLE: 0109-001127-0003254","[""accessories"",""bags-and-wallets"",""bags"",""satchels""]",,11,57,0,0
0109-001494-0003142,Coral Pad Lock & Pyramid Stud Mini Cross Body,"We love the structured look and feel of this boxy faux leather mini cross body bag. It features an oversized gold tone decorative padlock dangling from the front, with pyramid stud accents.
			Approx. 5.5 in. high x 7.5 in. wide x 3 in. deep
			Zip closure
			Shoulder strap
			Internal zip compartment
			Striped woven lining
			Man-made materials
			Imported
			STYLE: 0109-001494-0003142","[""accessories"",""bags-and-wallets"",""bags"",""crossbody-bags""]",,0,0,0,0
0111-000063-0000720,Studded Gladiator Belt,"Buckle down and conquer in this edgy faux leather belt. Features a 5 tiered split design with vintage stud and rings accents at the front.
			Approx. 5 in. high at front
			Elastic back with double snap closure
			Man-made materials
			Imported
			STYLE: 0111-000063-0000720","[""accessories"",""belts""]",,5,1,0,0
0114-000203-0003031,Turnt Up Baseball Hat,"Don't let the weekdays get you down, keep it cranked up to the max in this black baseball hat. Features ""Turn Down For What"" in raised embroidery across the front.
			Adjustable hook and loop fit
			100% cotton
			One size fits most
			Imported
			STYLE: 0114-000203-0003031","[""accessories"",""hats-and-beanies""]",,0,0,0,0
0127-001127-0006730,Emoji One-Touch Selfie Stick,"Selfie fanatics rejoice! This incredibly handy selfie stick allows you to take stunning self portraits at an ideal distance. No more T-rex arms!
			Compatible with Galaxy S5 and other similar devices
			Compatible with iPhone 4/4S/5/5C/5S/6
			Printed grip with easy shutter button
			Extends up to 32 in. long
			Adjustable clasp
			Universal jack
			Attached corded handle for easy carrying
			STYLE: 0127-001127-0006730","[""accessories"",""tech"",""selfie-sticks""]",,1,0,0,0
0127-001127-0006761,Galaxy One-Touch Selfie Stick,"Selfie fanatics rejoice! This incredibly handy selfie stick allows you to take stunning self portraits at an ideal distance. No more T-rex arms!
			Compatible with Galaxy S5 and other similar devices
			Compatible with iPhone 4/4S/5/5C/5S/6
			Printed grip with easy shutter button
			Extends up to 32 in. long
			Adjustable clasp
			Universal jack
			Attached corded handle for easy carrying
			STYLE: 0127-001127-0006761","[""accessories"",""tech"",""selfie-sticks""]",,2,0,0,0
0127-001127-0006966,Gray Chevron Shutter Button Selfie Stick,"Strike a pose and smile big! This handy selfie stick allows you to take stunning self portraits at an ideal distance. The handle grip features gray chevron print and a convenient shutter button.
			Compatible with Galaxy S5 and other similar devices
			Compatible with iPhone 4/4S/5/5C/5S/6
			Printed grip with easy shutter button
			Extends up to 32 in. long
			Adjustable clasp
			Universal jack
			STYLE: 0127-001127-0006966","[""accessories"",""tech"",""selfie-sticks""]",,3,0,0,0
0127-001411-0004000-0001,Black Wireless Selfie Shutter Button,"The perfect selfie is a just a point and click away with this handy shutter button! Designed to connect wirelessly via Bluetooth so that you can capture the best moments with ease.
			Bluetooth range up to 30 ft.
			Compatible with most mobile smartphone devices
			Includes battery: cr2032 xl cell
			Measures: 50mm x 35mm x 10.5 mm
			Imported
			STYLE: 0127-001411-0004000","[""accessories"",""tech"",""tech-accessories""]",,1,38,21,0
0133-001243-0000501-0010,Dream Wooden Wall Hanging,"Don't leave your walls bare! Decorate them to your liking with this cute wooden wall hanging, featuring ""Dream"" in a metallic gold print.
			Measures 2 in. high x 15 in. wide
			Imported
			STYLE: 0133-001243-0000501","[""accessories"",""decor-and-gifts"",""wall-art"",""canvases-and-wood""]",,2,65,6,0
0133-001243-0003333,Hello Beautiful Floral Stretched Canvas,"Spice up your bare walls with this fun and colorful printed stretched canvas. It features the inspiring text ""Hello Beautiful"" in elegant script, bordered by beautiful floral print.
			Approx. 10 in. x 7.5 in.
			Built-in hook for easy hanging
			Canvas over wooden frame
			Imported
			STYLE: 0133-001243-0003333","[""accessories"",""decor-and-gifts"",""wall-art"",""canvases-and-wood""]",,13,14,0,0
0133-001243-0008080-0090,Too Cool Emoji Nightlight,"Create a soft, warm glow in any room with this nightlight decorated as a sunglasses-sporting emoji. Can be plugged into any standard 100-127 V power outlet.
			Measures 3.25 in. in diameter
			On/Off Switch
			60Hz / 120VAC
			Maximum 7 watt C7 Bulb
			STYLE: 0133-001243-0008080","[""accessories"",""decor-and-gifts"",""lights"",""night-lights""]",,2,44,35,0
0133-001766-0002000,Full/Queen - Heart Dreamcatcher Comforter Set,"Create a space that tells your story with this colorful comforter set. Made of woven microfiber and featured in galaxy print with a heart-shaped dreamcatcher motif, this cozy bedding set fits a standard full or queen sized bed.
			Switch it up by mixing and matching two different sets!
			2 standard pillow shams
			1 comforter
			100% microfiber
			Machine wash
			Imported
			STYLE: 0133-001766-0002000","[""accessories"",""decor-and-gifts"",""bedding""]",,18,5,26,0
0143-000104-0008882,Owl Be Friends Fuzzy Socks,"Cuddle up with the cute blue owls on these soft crew socks. The cuff is made of a cozy knit while the body and heel are made of a super plush fuzzy material so soft you'll never want to take them off.
			98% polyester, 2% spandex
			Machine wash
			One size fits most
			Imported
			STYLE: 0143-000104-0008882","[""accessories"",""socks-and-tights"",""socks""]",,14,0,0,0
0143-000203-0005177,Gold Striped Black Over-the-Knee Socks,"Grab your schoolbooks at meet us by the lockers. This pair of flat knit over-the-knee socks is your perfect schoolday companion. Featuring classic stripes, they go perfectly with pep rallies and even AP Biology.
			97% polyester, 3% spandex
			Hand wash
			One size fits most
			Imported
			STYLE: 0143-000203-0005177","[""accessories"",""socks-and-tights"",""socks""]",,21,3,0,0
0150-000575-0000707,Black Baguette Gem 3-Strap Heel By Bamboo®,"Girl, you're smoking hot in this dance-ready glittery heel. Made with allover tinsel-textured fabric, it features caged straps covered with sparkling baguette faux gems for an extra bit of glitz.
			By Bamboo®
			Height: approx. 3.5 in. heel
			Lined footbed
			Side buckle
			Non-skid sole
			Man-made materials
			Imported
			STYLE: 0150-000575-0000707","[""shoes"",""girls-shoes"",""heels""]",,1,0,0,0
0150-000596-0000001-0029,Cognac Peep Toe Stacked Heel,"Flaunt your pretty toes in this beautiful heel. Crafted with sleek microsuede, featuring a peep toe and stacked heel.
			Measures 7.5 in. high, including 4 in. heel
			Side zip closure
			Lined
			Non-skid sole
			Man-made materials
			Imported
			STYLE: 0150-000596-0000001","[""shoes"",""girls-shoes"",""heels""]",,2,11,17,81
0157-000104-0007639,Vintage Lace Printed Infinity Scarf,"Wrap yourself in a small touch of elegance with this beautiful woven scarf, featuring a printed vintage lace design.
			100% polyester
			Hand wash 
			Imported
			STYLE: 0157-000104-0007639","[""accessories"",""scarves""]",,14,0,0,0
0167-000336-0004563,Turquoise Quarter Moon Set,"A cool modern jewelry set for someone who feels particularly in tune with the moon. The gold tone necklace features a moon-like, flat disc pendant with a turquoise-colored inset, plus matching mini spike studs.
			Approx. 26 in. adjustable chain
			Pendant is approx. 1.75 in. in diameter
			Studs are approx. 0.44 in. wide
			Man-made materials
			Imported
			STYLE: 0167-000336-0004563","[""accessories"",""jewelry-and-watches"",""sets""]",,11,45,0,0
0167-001562-0000002,Light Green Metallic Abstract Necklace,"Bold and beautiful enough to satisfy any diva, this statement necklace is a dream. Featuring enough colorful abstract faux gems to give any outfit a bit of glam.
			Approx. 20 in. adjustable chain
			Bib measures 7 in. in length
			Man-made materials
			Imported
			STYLE: 0167-001562-0000002","[""accessories"",""jewelry-and-watches"",""necklaces"",""charms-and-pendants""]",,6,0,0,0
0169-000075-0001002,Turquoise Fireball Bracelet Trio,"A colorful set of 3 beaded bracelets to add a bit of fun to your style. Featuring two rhinestone fireball bead bracelets held together with contrasting color bands.
			Set of 3
			Stretch fit
			Man-made materials
			Imported
			STYLE: 0169-000075-0001002","[""accessories"",""jewelry-and-watches"",""bracelets"",""sets-and-trios""]",,12,45,0,0
